TEAM NAME, SCORE, LOCATION, ROUND NUMBER
SURIYA1696NO, 628.75, CHENNAI, 1
CHEORI6181, 621.5, CHENNAI, 1
HAMANT130NO, 598.25, CHENNAI, 1
MUDITM73QR, 598, CHENNAI, 1
VIJAYP5448DE, 593.5, CHENNAI, 1
PRIYAL570VW, 573.75, CHENNAI, 1
FRANCI831EF, 558.5, CHENNAI, 1
CHEORI6182, 548.25, CHENNAI, 1
SANJAY56004KL, 547, CHENNAI, 1
MANITH218LM, 543.25, CHENNAI, 1
ZUBAIR1991UV, 574.5, HYDERABAD, 1
YESWAN249EF, 570, HYDERABAD, 1
SUNRISERS 1111, 562.5, HYDERABAD, 1
SURESH19217UV, 548, HYDERABAD, 1
HYDORI5014, 539.5, HYDERABAD, 1
NAAYAN10VW, 528.25, HYDERABAD, 1
HYDORI2271, 527.75, HYDERABAD, 1
NARSIR89GH, 501.5, HYDERABAD, 1
HYDORI5041, 473.5, HYDERABAD, 1
HYDORI1344, 471, HYDERABAD, 1
AKASHG3111FG, 653.5, KOCHI, 1
KOCORI2798, 645.5, KOCHI, 1
VINUSOUZ, 621.25, KOCHI, 1
SHANTU404, 616.75, KOCHI, 1
KOCOR3230, 601.25, KOCHI, 1
AXELEVEN11, 601, KOCHI, 1
KOCORI3058, 601, KOCHI, 1
RATZ 11, 591.75, KOCHI, 1
JITHIN1533MN, 580.5, KOCHI, 1
SAJESH PADMANABHAN, 575.25, KOCHI, 1
PILLA1316JK, 833.5, MUMBAI, 1
MAURYAMANISH1993, 716, MUMBAI, 1
RUPALI2673CD, 648.5, MUMBAI, 1
MUMORI2638, 643.25, MUMBAI, 1
DHARME3429KL, 592, MUMBAI, 1
SACHIN57303MN, 591, MUMBAI, 1
ATULMC13RS, 590.5, MUMBAI, 1
UDDHAV431PQ, 589.25, MUMBAI, 1
11SHANDAR, 566, MUMBAI, 1
PRITIB208JK, 561.5, MUMBAI, 1
CHEORI6181, 1293.75, CHENNAI, 2
CHEORI6182, 1065, CHENNAI, 2
"GOWTHA4882AB", 1045.25, CHENNAI, 2
MUDITM73QR, 1040, CHENNAI, 2
SURIYA1696NO, 1028.75, CHENNAI, 2
ASHOK35715AB, 960.25, CHENNAI, 2
"VIJAYP5448DE", 941.25, CHENNAI, 2
RAHULD5934OP, 929.25, CHENNAI, 2
SANJAY56004KL, 921.75, CHENNAI, 2
FRANCI831EF, 903, CHENNAI, 2
HYDORI5014, 1177.75, HYDERABAD, 2
HYDORI2271, 1103.75, HYDERABAD, 2
HYDORI5041, 1095.75, HYDERABAD, 2
SUNRISERS 1111, 1025.75, HYDERABAD, 2
YESWAN249EF, 964.5, HYDERABAD, 2
NARSIR89GH, 963.5, HYDERABAD, 2
SURESH19217UV, 932.75, HYDERABAD, 2
HYDORI5070, 875.25, HYDERABAD, 2
BALASU703AB, 855, HYDERABAD, 2
ZUBAIR1991UV, 846.25, HYDERABAD, 2
KOCOR3230, 1292.75, KOCHI, 2
KOCORI3335, 1154, KOCHI, 2
SHANTU404, 1149.75, KOCHI, 2
JITHIN1533MN, 1067.25, KOCHI, 2
SAJESH PADMANABHAN, 1040.75, KOCHI, 2
KOCORI2798, 1028.75, KOCHI, 2
ROSHIT113VW, 1007, KOCHI, 2
AXELEVEN11, 1006.5, KOCHI, 2
ASISHR72JK, 1004.25, KOCHI, 2
JUBINB, 995, KOCHI, 2
MUMORI1311, 1269.75, MUMBAI, 2
MUMORI2638, 1186.5, MUMBAI, 2
PILLA1316JK, 1160.25, MUMBAI, 2
MAURYAMANISH1993, 1101, MUMBAI, 2
RUPALI2673CD, 1068.5, MUMBAI, 2
MUMORI1304, 1056, MUMBAI, 2
ATULMC13RS, 1037.25, MUMBAI, 2
SACHIN57303MN, 1034.75, MUMBAI, 2
AMEYAD18WX, 1014, MUMBAI, 2
DHARME3429KL, 995, MUMBAI, 2
CHEORI6181, 1653.5, CHENNAI, 3
CHEORI6182, 1579.25, CHENNAI, 3
"GOWTHA4882AB", 1506.5, CHENNAI, 3
MUDITM73QR, 1442.75, CHENNAI, 3
SANJAY56004KL, 1432.5, CHENNAI, 3
CHEORI6199, 1356.75, CHENNAI, 3
FRANCI831EF, 1345.75, CHENNAI, 3
RAHULD5934OP, 1331.25, CHENNAI, 3
"SUBASH3678JK", 1310.25, CHENNAI, 3
"VIJAYP5448DE", 1294.5, CHENNAI, 3
HYDORI5014, 1731.5, HYDERABAD, 3
HYDORI2271, 1670.75, HYDERABAD, 3
YESWAN249EF, 1558.5, HYDERABAD, 3
NARSIR89GH, 1522.5, HYDERABAD, 3
HYDORI5041, 1498.25, HYDERABAD, 3
SUNRISERS 1111, 1378.25, HYDERABAD, 3
HYDORI5070, 1372.5, HYDERABAD, 3
SURESH19217UV, 1366.5, HYDERABAD, 3
SUNILC2490GH, 1327, HYDERABAD, 3
ZUBAIR1991UV, 1278.25, HYDERABAD, 3
KOCOR3230, 1868, KOCHI, 3
"AKASHG3111FG", 1622, KOCHI, 3
SHANTU404, 1617.25, KOCHI, 3
KOCORI2798, 1560, KOCHI, 3
JINESH518ST, 1559, KOCHI, 3
AXELEVEN11, 1557, KOCHI, 3
JITHIN1533MN, 1538.5, KOCHI, 3
KOCORI3335, 1529.5, KOCHI, 3
SAJESH PADMANABHAN, 1463, KOCHI, 3
ROSHIT113VW, 1440.75, KOCHI, 3
MAURYAMANISH1993, 1616.5, MUMBAI, 3
ATULMC13RS, 1584.5, MUMBAI, 3
MUMORI1311, 1549, MUMBAI, 3
RUPALI2673CD, 1510.5, MUMBAI, 3
AMEYAD18WX, 1496.75, MUMBAI, 3
UDDHAV431PQ, 1489, MUMBAI, 3
PILLA1316JK, 1392, MUMBAI, 3
11SHANDAR, 1384.5, MUMBAI, 3
MUMORI2638, 1384, MUMBAI, 3
LXROD7, 1335.5, MUMBAI, 3
MUDITM73QR, 2360.75, CHENNAI, 4
CHEORI6181, 2347.5, CHENNAI, 4
CHEORI6182, 2275.5, CHENNAI, 4
FRANCI831EF, 2201.75, CHENNAI, 4
CHEORI6199, 2079.75, CHENNAI, 4
MANITH218LM, 2017, CHENNAI, 4
RAHULD5934OP, 1987.25, CHENNAI, 4
SANJAY56004KL, 1983, CHENNAI, 4
"VIJAYP5448DE", 1972, CHENNAI, 4
NIRMA5864GH, 1964, CHENNAI, 4
HYDORI5014, 2423.5, HYDERABAD, 4
HYDORI2271, 2360.75, HYDERABAD, 4
ZUBAIR1991UV, 2211.25, HYDERABAD, 4
NARSIR89GH, 2175.25, HYDERABAD, 4
HYDORI5070, 2167, HYDERABAD, 4
HYDORI1344, 2126.75, HYDERABAD, 4
HYDORI5041, 2045.75, HYDERABAD, 4
